Rank,Title,Link,Image,Tags,Volume,Liquidity
84,Trump divorce in 2025?,https://polymarket.com/event/trump-divorce-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/donald-melania-trump-divorce-in-2025-VNEoIt1FbQgb.jpg,"Trump, Culture, Divorce, 2025 Predictions, Trump Presidency, MAGA, U.S. Politics, Celebrities",57678.371635,17955.97971
85,Will SpaceX have 200 or more launches in 2025?,https://polymarket.com/event/will-spacex-have-200-or-more-launches-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-spacex-launches-in-2025-H9bLc6Yotwva.jpg,"SpaceX, Science, 2025 Predictions",56817.24093,11987.56822
86,Will SpaceX have between 140-159 launches in 2025?,https://polymarket.com/event/will-spacex-have-between-140-159-launches-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-spacex-launches-in-2025-H9bLc6Yotwva.jpg,"SpaceX, Science, 2025 Predictions",39828.803036,5532.19189
87,Sundar Pichai out as Google CEO in 2025?,https://polymarket.com/event/sundar-pichai-out-as-google-ceo-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/sundar-pichai-out-as-google-ceo-in-2025-rsX0I_tMoiqG.jpg,"2025 Predictions, Business, Economy, AI, Big Tech, Finance",34284.387866,2782.67201
88,Tim Cook out as Apple CEO in 2025?,https://polymarket.com/event/tim-cook-out-as-apple-ceo-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/tim-cook-out-as-apple-ceo-in-2025-0kZVq2DdSpoM.jpg,"2025 Predictions, Business, Economy, AI, Big Tech, Finance",31364.883972,10381.87659
89,Supreme Court vacancy in 2025?,https://polymarket.com/event/supreme-court-vacancy-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/supreme-court-vacancy-in-2024-435ea730-e695-4276-93f4-5cec83e28a39.png,"Politics, Courts, SCOTUS, 2025 Predictions",31171.561518,3449.0824
90,Jay-Z & Beyoncé divorce in 2025?,https://polymarket.com/event/jay-z-beyonc-divorce-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/jay-z-beyonc-divorce-in-2025-_Yqjop7qvntD.jpg,"Music, Culture, 2025 Predictions, Celebrities",30162.80789,4451.20175
91,Will SpaceX have between 160-179 launches in 2025?,https://polymarket.com/event/will-spacex-have-between-160-179-launches-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-spacex-launches-in-2025-H9bLc6Yotwva.jpg,"SpaceX, Science, 2025 Predictions",24433.319075,2429.1451
92,Will SpaceX have between 180-199 launches in 2025?,https://polymarket.com/event/will-spacex-have-between-180-199-launches-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-spacex-launches-in-2025-H9bLc6Yotwva.jpg,"SpaceX, Science, 2025 Predictions",20760.45115,4079.45133
93,One Direction reunion in 2025?,https://polymarket.com/event/one-direction-reunion-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/one-direction-reunion-in-2025-vidhB6FuoRCq.jpg,"2025 Predictions, Music, Culture",16305.974446,1001.07125
94,Lana Del Rey divorce in 2025?,https://polymarket.com/event/lana-del-rey-divorce-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/lana-del-rey-divorce-in-2025-GUaqrIp3VVfX.jpg,"Music, Culture, 2025 Predictions, Celebrities",14064.664347,6224.96564
95,Will SpaceX have between 120-139 launches in 2025?,https://polymarket.com/event/will-spacex-have-between-120-139-launches-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-spacex-launches-in-2025-H9bLc6Yotwva.jpg,"SpaceX, Science, 2025 Predictions",10728.293944,4393.09439
96,Andy Jassy out as Amazon CEO in 2025?,https://polymarket.com/event/andy-jassy-out-as-amazon-ceo-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/andy-jassy-out-as-amazon-ceo-in-2025-Q-cq160IDNla.jpg,"2025 Predictions, Business, Economy, AI, Big Tech, Finance",7774.968525,4529.82422
97,Britney Spears tour in 2025?,https://polymarket.com/event/britney-spears-tour-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/britney-spears-tour-in-2025-iJPSKvW0OmBb.jpg,"2025 Predictions, Music, Culture",4782.770927,1683.0309
98,Hailey Bieber pregnant in 2025?,https://polymarket.com/event/hailey-bieber-pregnant-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/hailey-bieber-pregnant-in-2025-0wQla14JZm7U.jpg,2025 Predictions,3778.914899,21.0963
99,Nara & Lucky divorce in 2025?,https://polymarket.com/event/nara-lucky-divorce-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/nara-lucky-divorce-in-2025-5DrQLwCTYahI.jpg,"2025 Predictions, social media, Culture, internet",2058.448532,923.76153
100,ARCH Will the match be a draw?,https://polymarket.com/event/will-the-match-be-a-draw-romania-ukraine,https://polymarket-upload.s3.us-east-2.amazonaws.com/euro-2024-spain-vs-croatia-hMVrh1C7sGqw.png,"Euro 2024, EPL, Sports",,
